(おはよう|おはよー|おはよ):感動詞	おはよーございまーす♪（とりあえず言っとく） 
むくり:感動詞	おはよーございまーす♪（とりあえず言っとく） 
ただいま:一般名詞 EOS:EOS	おかえりなさーい♪（別に帰ってこなくていいけど） 
ただいま:一般名詞 ー:助詞 EOS:EOS	おかえりなさーい♪（別に帰ってこなくていいけど） 
ただいま:一般名詞 (.+):(句点|記号|顔文字|ニュアンス) EOS:EOS	おかえりなさーい♪（別に帰ってこなくていいけど） 
ただいま:一般名詞 ー:助詞 (.+):(句点|記号|顔文字|ニュアンス) EOS:EOS	おかえりなさーい♪（別に帰ってこなくていいけど） 
帰宅:名詞サ変	おかえりなさーい♪（別に帰ってこなくていいけど） 
帰:ラ行五段 っ:活用語尾：連用 た:助動詞	おかえりなさーい♪（別に帰ってこなくていいけど） 
帰:ラ行五段 り:活用語尾：連用 まし:助動詞 た:助動詞	おかえりなさーい♪（別に帰ってこなくていいけど） 
おやすみなさい:感動詞	おやすみなさーい♪（勝手に寝れば） 
お:接頭語 やす:マ行五段 み:活用語尾:連用 EOS:EOS	おやすみなさーい♪（勝手に寝れば） 
お:接頭語 やす:マ行五段 み:活用語尾:連用 ー:助詞 EOS:EOS	おやすみなさーい♪（勝手に寝れば） 
お:接頭語 やす:マ行五段 み:活用語尾:連用 (.+):(句点|記号|顔文字|ニュアンス) EOS:EOS	おやすみなさーい♪（勝手に寝れば） 
お:接頭語 やす:マ行五段 み:活用語尾:連用 ー:助詞 (.+):(句点|記号|顔文字|ニュアンス) EOS:EOS	おやすみなさーい♪（勝手に寝れば） 
寝:下一段動詞 る:活用語尾：終止	おやすみなさーい♪（勝手に寝れば） 
寝:下一段動詞 ます:助動詞	おやすみなさーい♪（勝手に寝れば） 
(眠|ねむ):形容詞 (い|ーい):活用語尾:終止	そうかー、早く寝た方がいーかもー（報告いらないし） 
よるほー:感動詞	よるほー（だから？） 
離脱:名詞サ変	また来てねー♪（正直どちらでも） 
(おなか|お腹|腹):一般名詞 (す|空):カ行五段 い:活用語尾：連用 た:助動詞	おなかすくよねー（どうしろと？） 
(おなか|お腹|腹):一般名詞 (へ|減):ラ行五段 っ:活用語尾：連用 た:助動詞	おなかすくよねー（どうしろと？） 
(おなか|お腹|腹):一般名詞 (.+):助詞 (す|空):カ行五段 い:活用語尾：連用 た:助動詞	おなかすくよねー（どうしろと？） 
(おなか|お腹|腹):一般名詞(.+):助詞(へ|減):ラ行五段 っ:活用語尾：連用 た:助動詞	おなかすくよねー（どうしろと？） 
ほかいま:感動詞	ほかえりー♪（………） 
(つか|疲れ):下一段動詞 た:助動詞	この時期はどーしてもねー。つらいよねー。（私には関係ないけど） 
こんにちは:感動詞	こんにちはー♪（とりあえず言っとく） 
嫌い:名詞形動	嫌いにならないでー 
寒:形容詞 い:活用語尾:終止	今日も寒いねー 
暑:形容詞 い:活用語尾:終止	今日も暑いねー 
よろしく:副詞	よろしくー♪ 
こんばんは:感動詞	こんばんはー♪（とりあえず言っとく） 
(ありがと|ありがとう):感動詞	どういたしましてー（ありがたく思いなさい） 
初めまして:感動詞	初めましてー
BOS:BOS (おい|へい|ねえ|あの|やあ):感動詞 EOS:EOS	何かご用ですかー？（なんなのよ） 
BOS:BOS あ:未知語 EOS:EOS	青いよー:その他
BOS:BOS い:上一段動詞 EOS:EOS	細いよー:その他
BOS:BOS う:助動詞 EOS:EOS	うねうねだよー:その他
BOS:BOS え:形容詞 EOS:EOS	白いよー:その他
BOS:BOS お:接頭語 EOS:EOS	私ってどう思う？白い？青い？ティッシュ？軽い？細い？綺麗？汚い？:その他
BOS:BOS か:助詞 EOS:EOS	かわいいよー:その他
BOS:BOS き:カ変動詞 EOS:EOS	細胞だよー:その他
BOS:BOS く:活用語尾 EOS:EOS	ぷるぷるだよー:その他
BOS:BOS け:助詞 EOS:EOS	ぷにぷにだよー:その他
BOS:BOS こ:カ変動詞 EOS:EOS	ぷよぷよだよー:その他
